provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SO,2020-01-01,0,soria,6.2,0.6,0.0,1082
SO,2020-01-02,0,soria,5.9,1.4,0.0,1082
SO,2020-01-03,0,soria,2.8,1.7,0.0,1082
SO,2020-01-04,0,soria,4.6,1.9,0.0,1082
SO,2020-01-05,0,soria,5.4,1.4,0.0,1082
SO,2020-01-06,0,soria,5.8,1.1,0.0,1082
SO,2020-01-07,0,soria,6.5,1.1,0.0,1082
SO,2020-01-08,0,soria,8.2,0.8,0.0,1082
SO,2020-01-09,0,soria,5.1,1.9,0.0,1082
SO,2020-01-10,0,soria,5.0,2.2,0.2,1082
SO,2020-01-11,0,soria,4.0,1.4,0.0,1082
SO,2020-01-12,0,soria,3.0,1.7,0.0,1082
SO,2020-01-13,0,soria,2.2,2.2,0.0,1082
SO,2020-01-14,0,soria,2.3,2.8,0.0,1082
SO,2020-01-15,0,soria,3.8,1.7,0.0,1082
SO,2020-01-16,0,soria,7.2,3.1,0.8,1082
SO,2020-01-17,0,soria,4.6,3.6,0.2,1082
SO,2020-01-18,0,soria,2.2,3.3,4.6,1082
SO,2020-01-19,0,soria,1.3,7.5,0.2,1082
SO,2020-01-20,0,soria,0.1,6.4,0.0,1082
SO,2020-01-21,0,soria,1.6,4.7,0.4,1082
SO,2020-01-22,0,soria,4.3,2.2,0.0,1082
SO,2020-01-23,0,soria,5.0,1.9,0.0,1082
SO,2020-01-24,0,soria,4.2,1.7,0.2,1082
SO,2020-01-25,0,soria,4.2,2.8,3.0,1082
SO,2020-01-26,0,soria,4.6,1.7,0.0,1082
SO,2020-01-27,0,soria,6.0,4.4,1.6,1082
SO,2020-01-28,0,soria,9.0,3.6,5.2,1082
SO,2020-01-29,0,soria,10.2,3.3,0.6,1082
SO,2020-01-30,0,soria,8.0,3.6,0.2,1082
SO,2020-01-31,0,soria,10.1,3.3,1.2,1082
SO,2020-02-01,0,soria,11.2,2.2,0.0,1082
SO,2020-02-02,0,soria,12.8,3.9,0.0,1082
SO,2020-02-03,0,soria,11.6,1.9,0.0,1082
SO,2020-02-04,0,soria,9.2,1.4,0.0,1082
SO,2020-02-05,0,soria,6.2,1.7,0.0,1082
SO,2020-02-06,0,soria,6.4,1.4,0.0,1082
SO,2020-02-07,1,soria,7.5,1.4,0.0,1082
SO,2020-02-08,0,soria,4.7,1.7,0.0,1082
SO,2020-02-09,0,soria,5.6,2.8,0.0,1082
SO,2020-02-10,0,soria,9.8,5.3,0.0,1082
SO,2020-02-11,0,soria,11.7,3.3,0.0,1082
SO,2020-02-12,0,soria,9.4,1.4,0.0,1082
SO,2020-02-13,0,soria,8.9,3.6,0.0,1082
SO,2020-02-14,0,soria,8.5,1.4,0.0,1082
SO,2020-02-15,0,soria,7.2,1.9,0.0,1082
SO,2020-02-16,0,soria,10.3,3.1,0.0,1082
SO,2020-02-17,0,soria,6.8,3.1,0.2,1082
SO,2020-02-18,0,soria,5.4,1.4,0.0,1082
SO,2020-02-19,0,soria,5.8,1.7,0.0,1082
SO,2020-02-20,0,soria,7.8,1.7,0.0,1082
SO,2020-02-21,0,soria,9.5,1.1,0.0,1082
SO,2020-02-22,0,soria,9.6,0.8,0.0,1082
SO,2020-02-23,0,soria,10.9,1.1,0.0,1082
SO,2020-02-24,0,soria,10.8,1.4,0.0,1082
SO,2020-02-25,1,soria,10.2,3.3,0.0,1082
SO,2020-02-26,1,soria,7.1,2.2,0.0,1082
SO,2020-02-27,1,soria,8.6,3.6,0.0,1082
SO,2020-02-28,0,soria,10.0,2.2,0.0,1082
SO,2020-02-29,1,soria,8.6,3.6,0.4,1082
SO,2020-03-01,0,soria,9.2,5.6,22.4,1082
SO,2020-03-02,2,soria,5.3,6.7,2.6,1082
SO,2020-03-03,1,soria,7.8,6.1,1.8,1082
SO,2020-03-04,6,soria,10.4,4.4,0.0,1082
SO,2020-03-05,4,soria,7.0,5.0,7.2,1082
SO,2020-03-06,5,soria,5.0,3.6,0.6,1082
SO,2020-03-07,7,soria,7.2,2.2,0.0,1082
SO,2020-03-08,8,soria,6.4,2.2,0.0,1082
SO,2020-03-09,16,soria,8.8,1.9,0.0,1082
SO,2020-03-10,11,soria,12.6,2.2,0.0,1082
SO,2020-03-11,17,soria,13.9,1.9,0.0,1082
SO,2020-03-12,31,soria,15.2,2.2,0.0,1082
SO,2020-03-13,39,soria,11.2,3.1,0.0,1082
SO,2020-03-14,51,soria,9.9,1.4,0.0,1082
SO,2020-03-15,52,soria,9.2,3.6,29.6,1082
SO,2020-03-16,67,soria,4.0,4.7,11.2,1082
SO,2020-03-17,68,soria,7.7,3.3,0.4,1082
SO,2020-03-18,48,soria,9.6,1.1,0.0,1082
SO,2020-03-19,74,soria,9.2,1.1,0.0,1082
SO,2020-03-20,74,soria,7.0,1.7,0.0,1082
SO,2020-03-21,83,soria,7.4,1.7,0.0,1082
SO,2020-03-22,39,soria,9.0,2.5,0.0,1082
SO,2020-03-23,52,soria,8.2,2.8,0.4,1082
SO,2020-03-24,24,soria,7.2,1.7,0.0,1082
SO,2020-03-25,52,soria,7.6,1.9,0.0,1082
SO,2020-03-26,30,soria,4.8,2.5,0.0,1082
SO,2020-03-27,31,soria,4.4,2.5,0.0,1082
SO,2020-03-28,20,soria,6.9,1.4,0.0,1082
SO,2020-03-29,23,soria,8.4,3.1,0.0,1082
SO,2020-03-30,28,soria,1.6,3.6,2.2,1082
SO,2020-03-31,26,soria,1.0,3.1,20.2,1082
SO,2020-04-01,32,soria,6.0,2.2,1.6,1082
SO,2020-04-02,29,soria,6.1,2.5,0.0,1082
SO,2020-04-03,19,soria,6.8,1.4,0.0,1082
SO,2020-04-04,22,soria,8.2,3.1,0.0,1082
SO,2020-04-05,12,soria,11.5,3.6,0.6,1082
SO,2020-04-06,27,soria,12.8,2.8,5.4,1082
SO,2020-04-07,20,soria,13.6,3.1,0.8,1082
SO,2020-04-08,15,soria,14.2,1.9,3.0,1082
SO,2020-04-09,10,soria,14.6,1.4,3.6,1082
SO,2020-04-10,20,soria,10.0,1.7,4.4,1082
SO,2020-04-11,19,soria,12.0,2.2,24.2,1082
SO,2020-04-12,8,soria,12.4,1.9,1.0,1082
SO,2020-04-13,42,soria,11.1,1.4,1.2,1082
SO,2020-04-14,10,soria,11.2,2.2,3.4,1082
SO,2020-04-15,10,soria,10.6,3.1,3.4,1082
SO,2020-04-16,12,soria,11.6,2.2,8.6,1082
SO,2020-04-17,4,soria,12.8,3.3,0.0,1082
SO,2020-04-18,10,soria,11.4,1.1,47.6,1082
