provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2020-01-01,0,alava,0.7,0.6,0.0,513
VI,2020-01-02,0,alava,2.1,4.7,0.0,513
VI,2020-01-03,0,alava,0.8,0.3,0.4,513
VI,2020-01-04,0,alava,5.4,2.5,0.0,513
VI,2020-01-05,0,alava,3.9,0.8,0.0,513
VI,2020-01-06,0,alava,3.8,1.9,0.0,513
VI,2020-01-07,0,alava,3.8,0.8,0.0,513
VI,2020-01-08,0,alava,7.4,1.1,0.0,513
VI,2020-01-09,0,alava,5.6,5.0,2.8,513
VI,2020-01-10,0,alava,4.9,1.7,0.3,513
VI,2020-01-11,0,alava,3.5,1.7,0.0,513
VI,2020-01-12,0,alava,0.6,0.8,0.2,513
VI,2020-01-13,0,alava,4.0,3.3,0.0,513
VI,2020-01-14,0,alava,8.4,8.1,0.0,513
VI,2020-01-15,0,alava,7.6,4.2,0.0,513
VI,2020-01-16,0,alava,7.9,4.4,0.1,513
VI,2020-01-17,0,alava,6.0,1.9,0.0,513
VI,2020-01-18,0,alava,5.1,3.3,15.0,513
VI,2020-01-19,0,alava,4.3,7.5,0.1,513
VI,2020-01-20,0,alava,2.6,5.3,0.0,513
VI,2020-01-21,0,alava,3.2,5.3,0.1,513
VI,2020-01-22,0,alava,6.8,1.4,0.5,513
VI,2020-01-23,0,alava,5.5,1.4,0.0,513
VI,2020-01-24,0,alava,5.3,2.5,0.0,513
VI,2020-01-25,0,alava,5.8,1.1,4.3,513
VI,2020-01-26,0,alava,5.0,2.8,0.2,513
VI,2020-01-27,0,alava,8.2,7.2,0.0,513
VI,2020-01-28,0,alava,8.0,3.1,0.0,513
VI,2020-01-29,0,alava,8.6,3.1,5.2,513
VI,2020-01-30,0,alava,12.6,8.1,0.0,513
VI,2020-01-31,0,alava,11.4,4.2,0.2,513
VI,2020-02-01,0,alava,14.3,4.4,0.0,513
VI,2020-02-02,0,alava,13.8,6.1,0.0,513
VI,2020-02-03,0,alava,12.6,1.7,0.0,513
VI,2020-02-04,0,alava,8.2,3.3,0.0,513
VI,2020-02-05,0,alava,5.1,3.9,0.0,513
VI,2020-02-06,0,alava,5.6,3.9,0.0,513
VI,2020-02-07,0,alava,6.8,5.0,0.0,513
VI,2020-02-08,0,alava,5.0,1.4,3.4,513
VI,2020-02-09,0,alava,8.4,5.6,0.0,513
VI,2020-02-10,0,alava,11.9,5.3,0.0,513
VI,2020-02-11,0,alava,8.8,1.7,0.9,513
VI,2020-02-12,1,alava,9.0,1.1,0.0,513
VI,2020-02-13,0,alava,9.8,6.7,0.0,513
VI,2020-02-14,0,alava,10.3,2.2,0.0,513
VI,2020-02-15,1,alava,8.5,4.4,0.0,513
VI,2020-02-16,0,alava,13.0,5.6,0.0,513
VI,2020-02-17,2,alava,9.9,3.3,1.3,513
VI,2020-02-18,0,alava,5.0,1.7,0.4,513
